price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
329.900 kr.;2020;27000;2020-03-11;El;74.1;325;A;6800
329.800 kr.;2020;60000;2020-06-10;El;69;498;A;4700
349.900 kr.;2021;14000;2021-08-06;El;77.8;325;A;8653
374.998 kr.;2021;71000;2021-03-24;El;75.1;498;A;2630
409.900 kr.;2020;38000;2020-09-18;El;69;498;A;9900
352.000 kr.;2021;8670;2021-12-16;El;77.8;325;A;9000
428.900 kr.;2021;44000;2021-03-03;El;66.9;513;A;8600
428.800 kr.;2022;3500;2021-12-03;El;75.1;498;A;2670
364.800 kr.;2019;65000;2019-03-01;El;69;462;A;4200
349.800 kr.;2021;20000;2021-06-11;El;77.8;325;A;9440
359.700 kr.;2021;23000;2021-05-26;El;77.8;325;A;6950
389.900 kr.;2022;6000;2022-04-29;El;76.7;325;A;8260
399.900 kr.;2022;6000;2022-04-29;El;76.7;325;A;8260
339.980 kr.;2021;41000;2021-03-10;El;77.8;325;A;4200
329.900 kr.;2021;26698;2021-07-28;El;77.8;325;A;4000
361.900 kr.;2021;13000;2022-01-27;El;77.8;325;A;9440
399.800 kr.;2021;48000;2021-01-11;El;66.9;513;A;7700
438.800 kr.;2021;15500;2021-09-23;El;75.1;498;A;2670
449.800 kr.;2022;10000;2022-03-17;El;75.1;498;A;6400
365.000 kr.;2022;11000;2022-02-18;El;76.7;325;A;6400
454.000 kr.;2022;0;2022-09-28;El;74.1;283;A;7000
454.000 kr.;2022;0;2022-09-28;El;74.1;283;A;7000
454.000 kr.;2022;0;2022-09-28;El;74.1;283;A;7000
339.800 kr.;2021;40000;2021-03-29;El;77.8;325;A;4700
454.000 kr.;2022;0;2022-09-28;El;74.1;283;A;7000
507.000 kr.;2022;0;2022-09-29;El;75.1;498;A;7000
507.000 kr.;2022;0;2022-09-28;El;75.1;498;A;7000
389.800 kr.;2021;16000;2021-09-24;El;75.1;498;A;6400
364.900 kr.;2019;53000;2019-06-27;El;66.5;490;A;4600
339.900 kr.;2021;35000;2021-02-22;El;77.8;283;A;8240
