price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
95.000 kr.;2018;13000;2018-01-01;Benzin;22.5;60;M;2650
59.000 kr.;2015;123000;2015-03-01;Benzin;22.2;60;M;7800
74.800 kr.;2016;47000;2016-04-13;Benzin;24.4;60;M;9440
99.800 kr.;2018;87000;2018-04-10;Benzin;24.4;60;M;3460
69.700 kr.;2014;119000;2014-08-06;Benzin;24.4;60;M;9310
79.900 kr.;2016;102000;2016-05-17;Benzin;23.8;75;M;2730
99.900 kr.;2018;55000;2018-03-08;Benzin;22.7;60;M;2610
88.995 kr.;2017;72000;2017-05-15;Benzin;24.4;60;M;7400
64.880 kr.;2014;143000;2013-08-26;Benzin;23.8;75;M;6000
109.900 kr.;2019;43000;2019-04-25;Benzin;24.4;60;M;8600
74.000 kr.;2017;56356;2017-01-01;Benzin;24.4;60;M;2300
99.799 kr.;2015;52100;2015-06-25;Benzin;24.4;75;A;4600
119.900 kr.;2020;59000;2020-05-01;Benzin;25;60;M;7160
133.980 kr.;2020;59000;2020-01-28;Benzin;25;60;M;8600
137.700 kr.;2019;69000;2019-07-03;Benzin;26.2;90;M;6100
66.400 kr.;2014;115000;2013-12-17;Benzin;24.4;60;M;8700
55.000 kr.;2013;105000;2012-08-01;Benzin;24.4;60;M;8250
56.800 kr.;2013;115000;2012-09-07;Benzin;22.2;60;M;8700
69.900 kr.;2018;48000;2017-09-28;Benzin;24.4;60;M;2650
105.000 kr.;2018;54000;2017-08-01;Benzin;24.4;60;M;8000
64.800 kr.;2013;89000;2013-04-01;Benzin;24.4;60;M;6070
114.900 kr.;2017;95000;2016-11-24;Benzin;22.7;90;M;8210
54.900 kr.;2013;196000;2013-06-24;Benzin;23.8;75;M;8600
52.900 kr.;2013;106000;2012-08-01;Benzin;22.2;60;M;5200
62.800 kr.;2015;101000;2015-08-07;Benzin;24.4;60;M;4600
107.800 kr.;2017;52000;2017-03-08;Benzin;24.4;60;M;8722
72.900 kr.;2015;106000;2015-01-29;Benzin;24.4;60;M;8930
69.000 kr.;2016;131000;2015-06-29;Benzin;24.4;60;M;5881
63.900 kr.;2015;164000;2014-08-01;Benzin;24.4;60;M;8200
99.900 kr.;2017;49000;2017-06-01;Benzin;24.4;60;M;2680
129.999 kr.;2020;35700;2020-03-24;Benzin;25;60;M;2650
78.895 kr.;2014;59369;2014-02-17;Benzin;24.4;60;M;3650
104.900 kr.;2018;65000;2018-06-11;Benzin;24.4;60;M;8660
59.880 kr.;2012;95000;2012-06-08;Benzin;24.4;60;M;3600
74.900 kr.;2016;69000;2015-07-27;Benzin;24.4;60;M;8930
104.900 kr.;2018;73700;2018-06-15;Benzin;24.4;60;M;6000
119.900 kr.;2020;34000;2019-11-07;Benzin;25;60;M;5260
54.900 kr.;2015;196000;2015-02-05;Benzin;24.4;60;M;6000
69.900 kr.;2014;110500;2014-04-25;Benzin;24.4;60;M;6950
119.900 kr.;2021;19900;2020-12-28;Benzin;23.7;65;M;4200
41.900 kr.;2012;197000;2012-09-03;Benzin;22.2;60;M;9310
114.900 kr.;2020;65000;2019-12-23;Benzin;25;60;M;6000
99.900 kr.;2019;84000;2019-07-30;Benzin;26.2;60;M;8960
79.900 kr.;2017;109000;2017-07-20;Benzin;24.4;60;M;9640
89.800 kr.;2016;81000;2016-06-02;Benzin;24.4;60;M;9800
79.900 kr.;2016;97000;2016-05-27;Benzin;24.4;60;M;6270
129.900 kr.;2019;28000;2019-10-31;Benzin;24.4;60;M;7160
74.800 kr.;2014;61000;2014-01-22;Benzin;24.4;60;M;2740
139.900 kr.;2019;82700;2019-02-15;Benzin;24.4;75;A;4600
79.800 kr.;2014;82000;2013-10-18;Benzin;22.2;75;A;9530
64.500 kr.;2013;114000;2012-11-27;Benzin;23.8;75;M;6261
89.900 kr.;2017;80000;2016-12-05;Benzin;24.4;60;M;4300
90.000 kr.;2017;75000;2017-07-01;Benzin;24.4;60;M;2610
124.800 kr.;2020;39000;2019-11-28;Benzin;26.2;60;M;8660
69.500 kr.;2015;41000;2014-08-13;Benzin;24.4;60;M;8660
99.900 kr.;2019;64000;2019-08-07;Benzin;24.4;60;M;6270
99.900 kr.;2018;50500;2018-04-04;Benzin;24.4;60;M;4700
59.800 kr.;2013;161000;2013-01-28;Benzin;22.2;60;M;4600
67.000 kr.;2015;70000;2015-03-01;Benzin;24.4;60;M;2700
94.900 kr.;2016;30000;2016-03-18;Benzin;24.4;60;M;5750
34.900 kr.;2013;236000;2013-01-01;Benzin;24.4;75;M;3000
49.800 kr.;2013;195000;2012-08-24;Benzin;24.4;60;M;3460
84.800 kr.;2018;49000;2017-09-04;Benzin;24.4;60;M;2860
98.999 kr.;2018;50000;2018-03-01;Benzin;24.4;60;M;3480
62.000 kr.;2012;46000;2012-03-01;Benzin;24.4;60;M;8000
64.900 kr.;2014;112000;2014-03-01;Benzin;24.4;60;M;7790
179.900 kr.;2019;69000;2018-07-01;Benzin;20.8;115;M;5750
62.900 kr.;2014;135000;2014-04-01;Benzin;24.4;60;M;3400
59.900 kr.;2014;124000;2013-08-01;Benzin;24.4;60;M;2670
64.900 kr.;2016;109000;2015-12-28;Benzin;24.4;60;M;8800
69.900 kr.;2014;100000;2014-01-27;Benzin;24.4;60;M;6800
59.900 kr.;2014;143000;2014-10-08;Benzin;24.4;60;M;2970
64.900 kr.;2012;108000;2012-05-29;Benzin;23.8;75;M;5580
59.800 kr.;2013;91000;2012-12-17;Benzin;23.8;75;M;6200
69.800 kr.;2015;153000;2015-04-28;Benzin;23.8;75;M;8783
69.900 kr.;2016;126000;2015-09-29;Benzin;24.4;60;M;5700
89.900 kr.;2017;59000;2016-09-20;Benzin;24.4;60;M;2630
84.900 kr.;2017;93000;2016-09-29;Benzin;24.4;60;M;2200
69.900 kr.;2015;79000;2014-08-01;Benzin;24.4;60;M;2800
62.000 kr.;2014;132000;2014-03-01;Benzin;22.2;60;M;5800
99.900 kr.;2017;83000;2017-01-11;Benzin;24.4;60;M;3400
94.700 kr.;2015;47000;2015-06-23;Benzin;24.4;75;A;8940
64.800 kr.;2013;126000;2013-06-07;Benzin;23.8;75;M;4600
49.800 kr.;2013;183000;2012-09-12;Benzin;22.2;60;M;4600
76.000 kr.;2016;64000;2015-09-01;Benzin;24.4;60;M;5300
85.000 kr.;2019;38000;2019-01-01;Benzin;26.2;60;M;7870
69.990 kr.;2017;129000;2016-08-26;Benzin;24.4;60;M;2630
68.800 kr.;2015;74000;2014-12-19;Benzin;24.4;60;M;2630
89.900 kr.;2018;110000;2017-12-19;Benzin;24.4;75;M;9310
66.900 kr.;2015;159000;2014-10-15;Benzin;24.4;60;M;8653
74.900 kr.;2019;107000;2019-01-02;Benzin;23.8;60;M;9640
89.900 kr.;2012;75000;2012-12-03;Benzin;22.2;75;A;2860
72.900 kr.;2017;63500;2016-09-22;Benzin;24.4;60;M;4600
69.500 kr.;2013;91000;2013-05-27;Benzin;23.8;75;M;8660
74.900 kr.;2016;98000;2015-07-23;Benzin;24.4;60;M;6270
53.900 kr.;2013;129500;2012-11-13;Benzin;24.4;60;M;5700
79.900 kr.;2016;106000;2015-11-18;Benzin;23.8;75;M;7400
99.900 kr.;2018;69000;2017-09-15;Benzin;24.4;60;M;8800
64.800 kr.;2016;174038;2016-01-15;Benzin;24.4;60;M;5853
79.900 kr.;2017;99000;2016-08-17;Benzin;24.4;60;M;7400
79.800 kr.;2016;116000;2016-07-25;Benzin;24.4;60;M;9800
72.500 kr.;2016;99000;2015-12-16;Benzin;23.8;75;M;9600
74.800 kr.;2016;69000;2015-10-02;Benzin;24.4;60;M;9230
68.900 kr.;2016;177000;2016-04-05;Benzin;24.4;60;M;9640
