price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
49.700 kr.;2013;139000;2013-07-19;Benzin;23.3;68;M;9310
84.500 kr.;2013;69000;2013-08-30;Benzin;22.2;82;M;4700
129.900 kr.;2019;38000;2019-01-03;Benzin;23.4;82;M;2800
139.500 kr.;2018;63000;2018-03-16;Diesel;33.3;100;M;8700
84.900 kr.;2016;115000;2016-12-19;Diesel;33.3;100;M;4600
129.900 kr.;2019;53000;2019-07-31;Benzin;23.4;82;M;7171
99.900 kr.;2017;77000;2017-03-28;Diesel;33.3;100;M;2800
74.900 kr.;2017;178000;2017-03-01;Diesel;33.3;100;M;4720
124.900 kr.;2018;42000;2018-06-07;Benzin;20.8;82;M;5260
59.900 kr.;2012;118000;2013-07-22;Benzin;22.2;82;M;2610
109.900 kr.;2017;95000;2017-12-21;Diesel;33.3;100;M;6100
189.900 kr.;2018;37500;2018-02-27;Benzin;22.2;110;A;7500
179.800 kr.;2022;2345;2022-03-21;Benzin;22.8;75;M;2770
194.990 kr.;2021;13500;2021-12-06;Benzin;22.8;100;M;8600
122.900 kr.;2019;91000;2019-02-22;Diesel;30.6;100;M;6100
114.900 kr.;2018;52000;2018-08-26;Diesel;33.3;100;M;4200
48.800 kr.;2014;144602;2014-10-14;Benzin;23.3;68;M;2670
64.900 kr.;2015;142000;2015-07-01;Benzin;23.3;82;M;8300
116.800 kr.;2018;70500;2018-08-06;Diesel;33.3;100;M;5600
90.000 kr.;2017;127000;2017-04-01;Diesel;28.6;100;M;6200
84.900 kr.;2016;121000;2016-07-01;Diesel;33.3;100;M;5260
45.000 kr.;2012;165000;2012-11-01;Benzin;22.2;82;M;5200
65.900 kr.;2015;56000;2015-12-01;Benzin;22.2;82;M;4600
86.800 kr.;2017;142000;2017-09-22;Diesel;33.3;100;M;8940
84.900 kr.;2015;57000;2015-07-24;Benzin;22.2;82;M;8940
89.900 kr.;2016;107000;2016-11-23;Diesel;33.3;100;M;8200
225.000 kr.;2022;6500;2022-03-03;Benzin;22.8;100;M;8240
98.900 kr.;2015;40000;2015-03-27;Diesel;33.3;100;M;2730
69.900 kr.;2012;163000;2012-06-15;Diesel;29.4;68;A;4300
99.400 kr.;2016;106000;2016-02-01;Diesel;33.3;100;M;4684
74.900 kr.;2016;144000;2016-09-19;Benzin;23.3;82;M;6600
89.800 kr.;2017;128000;2017-11-30;Diesel;33.3;100;M;8362
209.900 kr.;2021;12000;2021-12-22;Benzin;22.8;100;M;2800
119.800 kr.;2018;106300;2018-01-25;Diesel;33.3;100;M;4600
84.500 kr.;2016;105000;2016-04-14;Diesel;33.3;100;M;6261
184.900 kr.;2022;10000;2022-02-24;Benzin;22.8;75;M;2800
199.900 kr.;2021;35000;2021-01-19;Diesel;29.5;100;M;4200
109.900 kr.;2017;99000;2017-12-04;Diesel;33.3;100;M;7323
124.900 kr.;2018;59000;2018-02-02;Diesel;33.3;100;M;8600
234.900 kr.;2020;11000;2020-01-17;Benzin;25.6;100;A;3400
114.900 kr.;2013;93560;2013-07-17;Benzin;16.9;200;M;2750
189.900 kr.;2022;100;2022-08-31;Benzin;22.8;75;M;5683
55.000 kr.;2012;1000;2012-01-01;Diesel;26.3;92;A;8752
84.900 kr.;2016;140100;2016-04-14;Diesel;33.3;100;M;4600
104.700 kr.;2017;75000;2017-01-13;Diesel;33.3;100;M;6000
198.700 kr.;2021;10000;2021-10-26;Benzin;22.8;100;M;6000
89.900 kr.;2014;100;2014-03-03;Benzin;23.3;68;M;6760
124.500 kr.;2018;84500;2018-08-30;Diesel;33.3;100;M;6261
93.000 kr.;2017;119000;2017-05-03;Diesel;33.3;100;M;7800
149.000 kr.;2020;72000;2020-02-07;Diesel;34.4;100;M;9000
99.800 kr.;2017;69000;2017-12-05;Benzin;23.3;82;M;2770
144.900 kr.;2019;56000;2019-08-15;Diesel;34.4;100;M;6650
